Place,Type,Size,Neighborhood,Address,Ambience,Purchase Required,Parking Situation,Free Wi-Fi,Has Cinnamon Rolls,Has Reviews,Description,Website,Google Maps Profile URL,Apple Maps Profile URL,Comments,Google Maps Place Id,Latitude,Longitude,Place Enhancements Link,Last Modified Time,Created Time,Operational,Photos
Common Market | South End,"Market,Deli",Large,South End,"235 W Tremont Ave, Charlotte, NC 28203, USA",Energetic,Yes,Free,Yes,No,Yes,"Popular spot offering draft brews & deli sandwiches amid a convenience store, plus outdoor seating.",https://commonmarketisgood.com/south-end/,https://maps.google.com/?cid=12308843922022631366,"https://maps.apple.com/?ll=35.2103963,-80.8636397&q=Common%20Market%20%7C%20South%20End","This place is spacious, with indoor and outdoor seating on the main floor, plus an upstairs area with more seating and a small patio. Very alt-punk/rock aesthetic, which I personally love—I grew up in Seattle. It feels like the kind of spot the crew from a 2000s coming-of-age film (the ones who get bullied by the popular kids and listen to Radiohead, Dashboard Confessional, and Yellowcard) would hang out, talking through their trauma and how much they want to ""get out of this town."" And I mean that in the best way possible (I may have just listed some of my favorite bands). This place is awesome. The music is on point. I don’t even bother with headphones unless it’s packed. Truly a standout when it comes to vibes. A heads-up: there’s some access to outlets upstairs, but not a lot, so come charged up. If you’re a morning person, you can practically have the whole place to yourself if you show up early. It doesn’t get busy until the afternoon. Parking is the biggest challenge—there’s free parking near the store, but it’s limited. Street parking and nearby lots are options, though not always free. South End is designed for walking and light rail access, which is great unless you’re coming from another neighborhood and need your car. Not complaining though, just making a note.",ChIJy29EH3-fVogRxofi_1TM0ao,35.2103963,-80.8636397,,1/6/2025 12:38pm,11/7/2022 10:12am,Yes,[]
Community Matters Café,Café,Large,Uptown,"821 W 1st St, Charlotte, NC 28202, USA",,Yes,Free,Yes,No,Yes,"Non-profit restaurant serving breakfasts, sandwiches & salads amid warehouse-style decor.",http://communitymatterscafe.com/,https://maps.google.com/?cid=16208728471401259722,"https://maps.apple.com/?ll=35.2293334,-80.8551835&q=Community%20Matters%20Caf%C3%A9",Check out their website for details about their mission as a business. Worth visiting just to support the cause!,ChIJVVVpuNKhVogRyuKhzqr48OA,35.2293334,-80.8551835,,1/7/2025 9:13am,11/6/2022 6:48pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqG3wQaag4Is9LmiMWJr_8QVXYO78Chbv3fXIf3DyrXriWh1lhH5f4wanqoqZ7-0vHX5I1gktklVGv37FkU4iSwYqeih_2gLu9Y=s4800-w1125-h836', 'https://lh3.googleusercontent.com/places/ANXAkqGp8tumUxqeP5zA8gNMADAIGrc_cwRaNXDM9bXtRvFoc-C_eSrZ8YRxDuX7bL7Up7MTz8Tmk-3kMtoeXr4n46KidHHSdNxDHNY=s4800-w4032-h1960', 'https://lh3.googleusercontent.com/places/ANXAkqGOi_VqyaPOcap63qZELhYRjZoDJShpk34PkeoWXquYG0mX9oyLHhsNmEMtr_A82jgUIpi80bqMDWiNjQnpJngcgNW5Uex4ZP4=s4800-w3115-h1752', 'https://lh3.googleusercontent.com/places/ANXAkqFPHkIStmSQj7ESjorjqW6X3owJOi9KevoPoS6ZQ3vuE5bFE0zFAmjbbGzZelK4yg0l9V5SeV74Nwb7zrOQjhqnaTRCYeWQujM=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqGTX47zkAwd99jppkTOix1Bpkh33G5TFxWVUvBrQFbyIJuRgyYWeHsZENcdVAeBRNj91f4Gq_t9sKk3zp2QDMKdkIOu7k9qZpM=s4800-w4032-h2268', 'https://lh3.googleusercontent.com/places/ANXAkqG4peIasPdeA9SazKYIJNf_BK4aFeAvJml6hgUNd5k5f1aVL7_64qLpkorOA5ugUjWLRL37m6ohib2VFAssfm91zYPyTrB3nkI=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqFVuBhIrzGm3o5xT5vje1wfs8mD1_IwOQTrdAR4060uVCSuvVtRZIf4h7ZmG7OW0MoTqRK-koF6p1yO-qqMi2nmZo23lhh4LBs=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqH4OZe8UBmdnMN8mhs8qMwfPVGhGIlQt69FTGAYH_6sZcZL7hpcYkFoDeiD0khQyJrYLxounSWv14RXWIQbgnqXG70SPGHUxB8=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqFKl8xxZ5kGxA-e1tBJxTIlaDVET1i7PclCZXgAbZc6DbNnPl2_HI8rAtt3DNmAPR8TGnJdBE0Ij8wvUpw3hRhcFGNxebQD6A0=s4800-w3600-h4800']"
Crane Coffee,Coffee Shop,Small,Uptown,"550 S Caldwell St, Charlotte, NC 28202, USA",,Yes,Paid,Yes,No,Yes,Charlotte coffee shop in the Uptown neighborhood known for their locally roasted beans.,http://cranecoffeeco.com/,https://maps.google.com/?cid=3208358872387085091,"https://maps.apple.com/?ll=35.2204571,-80.8442268&q=Crane%20Coffee",,ChIJxeGCbiigVogRI-OaVGVhhiw,35.2204571,-80.8442268,,1/6/2025 12:38pm,11/7/2022 6:00pm,Yes,[]
Earth Fare | Ballantyne,Grocery Store,Large,Ballantyne,"12235 N Community House Rd, Charlotte, NC 28277, USA",,No,Free,Yes,Sometimes,Yes,Supermarket chain dedicated to health-conscious foods like organic produce & grass-fed beef.,https://www.earthfare.com/stores/,https://maps.google.com/?cid=1159083252739937554,"https://maps.apple.com/?ll=35.0690265,-80.8409526&q=Earth%20Fare%20%7C%20Ballantyne","It’s similar to Whole Foods in terms of design, just slightly worse in nearly every way. There's a hot food bar and hot drinks, they're alright, but not consistently available. There's interior seating area with a good amount of space and a patio, but limited access to outlets. However, it's usually pretty quiet here since people don’t think of Earth Fare as a third place, making it a chill vibe. Also, there’s a Cinnaholic in the same complex. For that alone, it's worth going here, working/studying, then treating yourself to cinnamon rolls.",ChIJAyVuHBedVogREhWryBPkFRA,35.0690265,-80.8409526,,1/7/2025 9:13am,6/20/2024 5:10pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqG9wKnIOU7utlisCTnoTNB0Rug5QrR5s8BtWpaE98jT0CekJxT09rOCrNyBzB--joyrIoKa1kNd4G_D0h_3k7ASk1-98p2L04g=s4800-w4096-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqFjlMYLbcbBLp0Wamkhjtkb275GayDViEsXwOmD4q6A7TDCNvLt2iz_n7mq7tG_GgRIzWWyGMOuU1R7faSIOjCATDPp5MenW0E=s4800-w4096-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqH1uWnGBKqIChnKeEahD0928iT0BMuHaN9qgtM7sieImTCRqXeZfQLX1Tyu_blzQqYGeigJMJoqfT_eU2QCNowIdfReEpGAz_w=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqF2MKfUqlHWkF4eceU5Xlsd9shUnrVrdDADAFmtAmt0DJZSyMEfCr3p0A1M7IEr0FXGfPtYUnYIy8XfeRHksae6t-xYTbsXK1A=s4800-w3024-h4032']"
Editions Coffee and Bookstore,"Coffee Shop,Bookstore",Unsure,Kannapolis,"217 S Main St, Kannapolis, NC 28081, USA",,Yes,Free,Unsure,Unsure,Yes,,http://editionsbookstore.com/,https://maps.google.com/?cid=8501133802159651349,"https://maps.apple.com/?ll=35.4949126,-80.6256294&q=Editions%20Coffee%20and%20Bookstore",,ChIJu2HsO4UIVIgRFbrK8SYY-nU,35.4949126,-80.6256294,,1/6/2025 12:37pm,8/17/2024 11:06am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqGWIwi9YQJG5j4nISmKK8QY72P0qzp73IwdDheZCFbjHnu1w9PvzUaoDOJeON34-hN3yjr_ZDOwlTtsNejhQ5a9R7YLBFRNunA=s4800-w3000-h4000', 'https://lh3.googleusercontent.com/places/ANXAkqFcqTJy1noHyB75aVSzFa-ef7b-dzv1hBWCPglZsPRcPzoBv0kAYPdXSskAQGa-n87ASKCP0xfMfzsGcefiWb1TSi-d_ggUVeU=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGq3CryROHfubAvYvmKINjlc3VzMYnQ7FIqORgAJfT5qVbUVDCQiFiYKX-1RpnCFBgW0UdKL12f_mnVVJMZq4ZKoUHNfxkb9xY=s4800-w2727-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqHOSVbplxUur-EvEKKRFn27lnLeYJ7VGZX_MZ1xst5lnnCB54fr0VlZXnvvPeKh_m_nNs0hvSr8PZdWjHLzqochjJXGYPEseqo=s4800-w896-h672', 'https://lh3.googleusercontent.com/places/ANXAkqHjsGKUIhIayX-lozwcyg55wuGZ4LMfWU8i6_WbMCcLyslLtIUk_2pZxIUFyw3ilzd8T51dyolxyXJdExFZ8PjUBiXQ1ttfcPQ=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqHch_3p_oIeRnuJ8U9KuyGubQyvaouoLS7ixKtdOyL9hXiUy_ufBrMYuzpvJwfEkXSsiTOyT5hEB0NbDvVhzfR53f-Qbm5xZOI=s4800-w3000-h4000', 'https://lh3.googleusercontent.com/places/ANXAkqEQQC0Q6xEg7KWULIVwmrlJflwtrGev6hDGQorne6-SJUFT2ahaXxc7SBPzGMOIeyv657mX0vR0cUk71AIUesKnmRCZRP7q_kU=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqFv9qxgJVJdqXOx1IWr2jQSYwbLQ2F3ScXhy7VF5Vrj4ZsgUAkQfNBo101vSqxjOplrgnMdL0DTco3_UvvRbpmMo-wM3BBsJdA=s4800-w3468-h4624', 'https://lh3.googleusercontent.com/places/ANXAkqHJf05mL-3Ffg3Fk0QcZPDnuHVU8TugcBGS0TKLUrAjkqGRPF25kbQ2w2il00SO6cF1DaF-KFjypBC6f7zRu9oxFgVQgmXU6Aw=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGrkW7kKmHauG0mVijt7HbzE5ce8RE7hwvrYx2wkkYz-Ine7OOH3guOOqRkDV9XjVMatNvBQpXfc7LPtZmElmVfGmovO7CqSWw=s4800-w3024-h4032']"
Enderly Coffee Company,Coffee Shop,Small,Enderly Park,"2620 Tuckaseegee Rd, Charlotte, NC 28208, USA",,Yes,Free,Yes,Sometimes,Yes,"Enderly Coffee Company is a family owned coffee roaster based in Charlotte, NC focused on great coffee and doing GOOD in our world through our beans. ",http://enderlycoffee.com/,https://maps.google.com/?cid=2458723119236654423,"https://maps.apple.com/?ll=35.239137299999996,-80.87547169999999&q=Enderly%20Coffee%20Company",Small but it always smells really good in here. There’s some cool abstract art on the walls. Limited parking right behind the building.,ChIJp4oqyCShVogRVyUka6YjHyI,35.239137299999996,-80.87547169999999,,1/7/2025 8:25am,11/7/2022 10:17am,Yes,[]
Forest Trail House,Coffee Shop,Medium,Mint Hill,"7201 Matthews-Mint Hill Rd, Mint Hill, NC 28227, USA",,Yes,Free,Yes,Yes,Yes,,http://www.foresttrailcoffee.com/,https://maps.google.com/?cid=7607042609743726010,"https://maps.apple.com/?ll=35.1747679,-80.6557768&q=Forest%20Trail%20House","Sits in a converted house with plenty of seating across the indoor and outdoor areas. It’s a similar vibe to Brakeman’s in Matthews. Has that homey community gathering spot feel, in part because it’s literally in a home, but also because they host plenty of events and gatherings for various groups in the area. Customers and staff alike look very relaxed, at home even, here. There’s sufficient spots near outlets for remote workers and plenty of parking behind the house. They have cinnamon rolls, not the cute bite sized kind, proper fully formed cream cheese frosting cinnamon rolls, and they are sublime.",ChIJcyZ80YcjVIgRugUJIfOkkWk,35.1747679,-80.6557768,2,1/7/2025 9:13am,6/9/2024 9:51am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqE7H96xFysibLFlfKqhfHFVrHw6D4Tpji6qjOZFrwTbw_TTQJkKmHGMwgWhX5gwxnTkXh_ha1HfYg011OAPDKONx5wBe8qSfF0=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEJy-8-B2kbv75nZkWxzj7OZujMtsEPCzl-RI_uoRkS1j60YmmeN5UULYuPgtwvEPcYT-Xvz9QMXpIvdkMTshZHUd3RJypNv-M=s4800-w3024-h4032']"
Forte Legato Coffee,Coffee Shop,Unsure,Rock Hill,"742 N Anderson Rd, Rock Hill, SC 29730, USA",,Yes,Free,Yes,Unsure,Yes,,http://www.fortelegato.com/,https://maps.google.com/?cid=17325925083254027019,"https://maps.apple.com/?ll=34.9571355,-80.9951008&q=Forte%20Legato%20Coffee",,ChIJuaZA56GJVogRC_NiCBENcvA,34.9571355,-80.9951008,,1/7/2025 9:13am,6/13/2024 1:26pm,Yes,['https://lh3.googleusercontent.com/places/ANXAkqE-yE7VJogEi_qDEZOogen-PXsxr-iHcW8ZD642aKoSfAslTAs1nZNCk_EiwoD_4W2mN0JTJWBYWfRQxt5gDhraIgGxtiQyhg4=s4800-w4032-h3024']
French Express Coffee House,Coffee Shop,Unsure,Kannapolis,"2087 Dale Earnhardt Blvd, Kannapolis, NC 28081, USA",,Yes,Free,Yes,Unsure,Yes,,https://www.frenchexpressch.com/,https://maps.google.com/?cid=7291052198069376868,"https://maps.apple.com/?ll=35.475123700000005,-80.60971909999999&q=French%20Express%20Coffee%20House",,ChIJG1AjVjwGVIgRZJfBMFgFL2U,35.475123700000005,-80.60971909999999,,12/27/2024 2:54pm,8/17/2024 11:11am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqHiYmoxbwaNJhTMgUzR2F6XgkKT37SyAFTF4sk_jhxZcg7GYCFZFY9mHHKK4xUW9PcKvoCBzm68g-V0aWYZe6RdE2MIl39kS0k=s4800-w2268-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGaIHvMHfezmF2T4R7kHlr79wFmZNq-du-iRDp4w1mD8gphKSTZRWo70xIt_kXSw_fLu70obsUUvAtNBNFkGnod2-S_GYpO4Kw=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqGTStp9aSU7kGd2nE9uEGv1lta_E0gq-ph7sfsNAJrKWOQbTWXJT70rhYm3wZ5TTMamQtZSR0jyneBysUWJCxWKG3d8b_qgZIM=s4800-w4000-h3000', 'https://lh3.googleusercontent.com/places/ANXAkqG2lGzqlAnUQqh84wDn8OwJwej8KFe1f0uMfRdoXc_NLZYO-iIn2E0vrHhd3k9acdfAnG6qFxhQfPLj8bAfJl-akVnVGg0GAoM=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEIOhCS6ghOINZyIP7wpgQ7AHdME4AHdESEkakYyyL79wRMNIOpZiwn6KHk4OBN1F7A9w72t1Dj4DfIBFoA7D4yk_Ryj-VixQw=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqEEX951kIqbg0p-EC0vd4IkdOlDGKB2OQO6MllD9ahvv305k2qZs5X36hW2ZRkl1AbFcYek22KvBpdCOYhf-BAzoLyuD7rkehQ=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqE-_whrCQU0KTmx6sK1lRIc2nyGXuGwb8BC_kUN8yPb2Y_uPPcZcFWupm0EEvY2iS7I-7P9CilrYZbqz95FpQQnqCe1iswtZXQ=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEdKgM8Cqi1tY92L2y54FphCB6dvM3uWOM5jc6SZe0Ats4Os8EDhRPh86ya1NS_L7lMqvwCNtTMkZy92c-sXw-c7kjFeCX4QQo=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqFQxTzoTvTaZ1HUzPrlUUXGykjoGs--f-GYvxFvKl8Eqb0axkNpiD_yaj7uOcW-AIlfAFhtbtTVR2xxUMxIXlGO-rYvj2c66h4=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqHkhac0Q7ux4cfMYq-FWsr6sKt1Asq3m_nvJm5n1hV_hrRQ26Bp_nQ4_96RgWP_-lgXO0gBnbaezyaGIXbsJ0tlPiPAT7PvVAs=s4800-w1920-h1080']"
Haraz Coffee House,Coffee Shop,Medium,Elizabeth,"1204 Central Ave #100, Charlotte, NC 28204, USA",,Yes,Free,Yes,No,Yes,,https://harazcoffeehouse.com/,https://maps.google.com/?cid=5258797408101314165,"https://maps.apple.com/?ll=35.2209048,-80.8180333&q=Haraz%20Coffee%20House","Immaculate vibes. One of the few places open later so if you need to really get some work done or study, this is a good place to hangout.",ChIJh4XCEgChVogRda6fX2EA-0g,35.2209048,-80.8180333,,1/7/2025 9:13am,4/13/2024 1:21pm,Yes,['https://lh3.googleusercontent.com/places/ANXAkqHDF1GRD9eoieLg7yPKR3T40AfPrnhcy9L7Hskp92CYRURhHGQhVsyT2oUlSyMupHF7M4gNVdsXiB2hPrGUbpJXZ-9vauIICug=s4800-w1170-h1565']
Heist Brewery and Barrel Arts,Brewery,Large,Druid Hills South,"1030 Woodward Ave, Charlotte, NC 28206, USA",,Yes,Free,Unsure,No,Yes,,https://www.heistbrewery.com/barrel-arts,https://maps.google.com/?cid=7827827257160700837,"https://maps.apple.com/?ll=35.249812,-80.8331419&q=Heist%20Brewery%20and%20Barrel%20Arts",,ChIJV3ZOflehVogRpRMvsmoHomw,35.249812,-80.8331419,,1/7/2025 9:12am,8/3/2024 3:51pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqHXBlsdlwj_g3F5nxeuVpJRM92qKlF6Lj2QSutFO119hVAuRcAbebPzNy3MBHzistKNg2NqLNlcoN7lKTCB3N91ciohQ6zthdI=s4800-w4032-h3024', 'https://lh3.googleusercontent.com/places/ANXAkqEkfjpG3lahDh6PAkvECKHX7-gSQuO98KfBT5aihqfLI4Rei4s54ox_UaiZS6B1ueQg7iCZTSWBlchPQyojGXfOwjwCZmjbpE8=s4800-w2883-h1868']"
Hex Coffee,Coffee Shop,Medium,Druid Hills South,"201 Camp Rd Suite 103, Charlotte, NC 28206, USA","Modern,Hipster",Yes,Free,Yes,No,Yes,"Stylish coffee bar inside Good Bottle Co. for pour-overs, cold brew & espresso, plus baked goods.",http://hexclt.com/,https://maps.google.com/?cid=11796324466375066789,"https://maps.apple.com/?ll=35.2459717,-80.8329078&q=Hex%20Coffee","This is in Camp North End, parking is free just don’t use the garages. Use the outdoor parking lots. They have some really fancy named teas and they’re all incredible. If you get it “for here”, they give you a nice cup and this fancy kettle pot thing to pour it from. The food is good, they give you a lot of it for the price. It’s not small cute coffee shop meals, it’s a full restaurant style plate of food. They have tall windows, so lots of light gets in. Gives the place a bright/energetic feel. Excellent access to outlets as well. They also have a great playlist, good vibes. Great day trip for remote workers. Explore Camp North End when you’re done with work.",ChIJ___PjW2fVogRpQSJQZr2tKM,35.2459717,-80.8329078,,1/7/2025 9:13am,12/6/2023 3:36pm,Yes,[]
High Grounds Coffeehouse,Coffee Shop,Unsure,Concord,"25 Barbrick Ave SW Ste. 103, Concord, NC 28025, USA",,Yes,Free,Yes,Unsure,Yes,,,https://maps.google.com/?cid=15728161306835065626,"https://maps.apple.com/?ll=35.408561999999996,-80.580517&q=High%20Grounds%20Coffeehouse",,ChIJC5zOYGsPVIgRGpvyj2CnRdo,35.408561999999996,-80.580517,,12/27/2024 2:54pm,8/17/2024 11:00am,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqG4BkC0g4yrm_3r-ABVtHDiE8WBCh8AwqkVaixocw_BKCaatp1hIkIdHSgBjFz1dNPrg8bMDgIZnfa7FTKB-IVKAKs4vOFOPRk=s4800-w4080-h3072', 'https://lh3.googleusercontent.com/places/ANXAkqHNocza2o3uwQDNJd-QPa6A7RPWfHioZ2rjw5hp6uvD4rwYA_fD0I0fYdqfnoyS0ODzLhiMUuwTY44_PwrjuUN1X5Qh_WObYVw=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqEulM8NTlBEKHXivrzpXIiGUIcNEjbG17DCgNzLJPLB1bG7P-IaATOBkJxiy-rgV6ReKfwOLz4O-OUIRnvuukNOrdzUFy1RYrs=s4800-w1242-h2208', 'https://lh3.googleusercontent.com/places/ANXAkqE1BW4wxqg0QS5Xya8oUWO_7CdHgjlZRfHO0tDJpu6zDjMjuP8hgpA_MCwBSd-ZQHeo1s-dDioQsz538CDH6OfxKfBxcs2FOeQ=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFIa27ICM_f3osJnxLVfBhcpXSkZU3Vj0r6VFY06dH6iUCLP49xlm0rWENfwjCzarqBQTsxm38kR0x4GjP4Jdm9RSJy2puFB6c=s4800-w1536-h2048', 'https://lh3.googleusercontent.com/places/ANXAkqEdldqkweCo-s80yO2N2v_yUuBy-DyZMLbCTBMXQSwxqMBtMO2A0uyq8n-IQ0oWQyHgPYUsOY6k7eBNQpE8fG_RRdhra0nPvi8=s4800-w1536-h2048', 'https://lh3.googleusercontent.com/places/ANXAkqFh8cTW2e8s8D91qHz_BNh8BxAlot2svGEhQK0RtzgaZetfaDj0_F_gqUJF3nTZI42JhGf5UvdjOzjWJlkP0vM4XosSudiiea0=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqFpB5xmpXE_ra9fbCry-LRYwTvkaObC2jbvZwMA0h1Ehx0Q9V37I3U5d92QhNQ4CAm2rULQCz4HcYYNRTU4OlZJX7yYWs8u_8U=s4800-w3024-h4032', 'https://lh3.googleusercontent.com/places/ANXAkqHcfTWMvYlgYk-skvXkWZzlMceawUGL5HQYmaf-kc4QWfaCL35RGZvdKh4vh2Usm_PKireCcMJ-L3PmjXr4hGmQBjbcd-Fjx6M=s4800-w3024-h4032']"
Javesca Coffee | Steele Creek,Coffee Shop,Medium,Steele Creek,"13501 S Tryon St, Charlotte, NC 28278, USA","Relaxed,Airy",Yes,Free,Yes,No,Yes,,https://www.javesca.com/,https://maps.google.com/?cid=16799053848181375859,"https://maps.apple.com/?ll=35.0975593,-80.99668059999999&q=Javesca%20Coffee%20%7C%20Steele%20Creek",,ChIJvevTlMeRVogRc4OCP3g6Iuk,35.0975593,-80.99668059999999,,1/6/2025 12:37pm,12/26/2023 1:16pm,Yes,[]
Julia’s Café & Books,"Café,Bookstore",Small,Grier Heights,"1133 N Wendover Rd, Charlotte, NC 28211, USA","Charming,Airy",No,Free,Yes,No,Yes,Airy cafe/used bookshop benefiting Habitat for Humanity offers free WiFi & seating in a loft.,https://www.juliascafe.org/,https://maps.google.com/?cid=5206340013175601220,"https://maps.apple.com/?ll=35.194373999999996,-80.7952117&q=Julia%E2%80%99s%20Caf%C3%A9%20%26%20Books","Hogwarts. Hogwarts vibes. It's connected to a Habitat for Humanity store internally so you can get some shopping done after reading. I wouldn't suggest this place as a ""work from"" spot. It's more a ""read, relax, chill"" sort of place. Check their website for more details about their Habitat for Humanity connection.",ChIJPenDPhMgVIgRRPg7WaiiQEg,35.194373999999996,-80.7952117,,1/6/2025 12:38pm,11/7/2022 10:21am,Yes,[]
Knowledge Perk Coffee Company | Fort Mill,Coffee Shop,Medium,Fort Mill,"900 Crossroads Plaza, Fort Mill, SC 29708, USA",,Yes,Free,Yes,Yes,Yes,,https://knowledgeperk.com/,https://maps.google.com/?cid=4544603398974219512,"https://maps.apple.com/?ll=35.0593021,-80.9911219&q=Knowledge%20Perk%20Coffee%20Company%20%7C%20Fort%20Mill","The cinnamon rolls. My friend, the cinnamon rolls, they are exceptional. They only have a limited amount, usually available in the morning until they’re sold out, but the cinnamon rolls are marvelous. If you're able to withstand feelings of gluttony or social anxiety stemming from the thought that the barista is judging you (they're not), order two. Eat one right away, warm the other one up when you get home. That's how to properly evaluate a cinnamon roll. You must have it in both states, as each is valid in its own right.",ChIJUURJWhiRVogR-CTkiLasET8,35.0593021,-80.9911219,,1/7/2025 9:13am,6/13/2024 1:23pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqGHQZYfftwhLeZ3_GlKXEMMYMNJ-NmKe9-B14EUmbuvmHanV_bNoLCD2qqqCz4wLj8n-KodunAacp3IK8o1b70VHJXv-JL89SY=s4800-w3072-h4080', 'https://lh3.googleusercontent.com/places/ANXAkqHsPlcgRR73JmQCrC4EO7I8nUgiCmmeyj-2GeKTVOH5QfQehK08b0mrbZV5djFOcB6JAnovLc9a2b8ELXxCy2TM0KFecSFOtQ8=s4800-w3735-h2801', 'https://lh3.googleusercontent.com/places/ANXAkqG0RGnMTWUbG67BqNyPmBNh5U1JJt5S4Rn7h4NxccI14ZLJoBVXGavMWSkHdwyvhRbQT-JPb9uWUCosirg58sOJoSFMjstvpm4=s4800-w2252-h4000']"
Knowledge Perk Coffee Company | Rock Hill,Coffee Shop,Medium,Rock Hill,"130 W White St, Rock Hill, SC 29730, USA",,Yes,Free,Yes,Yes,Yes,,https://knowledgeperk.com/,https://maps.google.com/?cid=3388852991508843996,"https://maps.apple.com/?ll=34.9287296,-81.0278601&q=Knowledge%20Perk%20Coffee%20Company%20%7C%20Rock%20Hill","The cinnamon rolls. My friend, the cinnamon rolls, they are exceptional. They only have a limited amount, usually available in the morning until they’re sold out, but the cinnamon rolls are marvelous. If you're able to withstand feelings of gluttony or social anxiety stemming from the thought that the barista is judging you (they're not), order two. Eat one right away, warm the other one up when you get home. That's how to properly evaluate a cinnamon roll. You must have it in both states, as each is valid in its own right.",ChIJH5YDEv-IVogR3I3nQtefBy8,34.9287296,-81.0278601,,1/7/2025 9:13am,6/13/2024 1:20pm,Yes,"['https://lh3.googleusercontent.com/places/ANXAkqEsrZm3nHCvuhKjBzqgvaN45T1JmIJGwufMfyX9-p8LFm7AXHzhk0ts1YouJbkkxajQS_bbV6ZtMNh40MNAaVjmv32pGG0JreA=s4800-w4032-h2268', 'https://lh3.googleusercontent.com/places/ANXAkqEqiVXla16WB0OfZFtRAJpYeMg2pDZ0YTH5NLgstQG_vxDjBQnc4E12FDocBiAwPZdRdp4QFZ84Z8Ff4JPa_k6aOzp2nfsO8I4=s4800-w4800-h3199']"
La Dolcekca Bakery Cafe,"Bakery,Café",Medium,Madison Park,"1607 Montford Dr Suite C, Charlotte, NC 28209, USA","Artsy,Charming",Yes,Free,No,Yes,Yes,,http://ladolcekcabakerycafe.com/,https://maps.google.com/?cid=9439877296576426174,"https://maps.apple.com/?ll=35.170811,-80.8493058&q=La%20Dolcekca%20Bakery%20Cafe","Remember the movie Barbie? The ambience here is ""cute"" in that way. The owner is a wonderfully kind woman who opened the spot in fulfillment of a lifelong dream. She’s into the science of baking, going through recipe after recipe to get things right. She’s the only baker in Charlotte I’ve seen wait to apply icing to a cinnamon roll until after purchase to ensure it doesn’t dry out. Attention to detail 💯.",ChIJwW1v78-fVogRvnC2-WIuAYM,35.170811,-80.8493058,,1/6/2025 12:37pm,2/4/2023 9:51pm,Yes,[]
